Species,Species >1970,Species <1970,List,Region,Region code,Subregion,subregion code,Geo subreg,Lat,Long,Status comment,STATUS,Group,VER-INV-PP,NS stand,Year,Period,REL,EC,TC,TS-0ther,TS-ball,TS-hull,COR,UNA,UNK,,,,,,,,,
"Acanthurus chirurgus (Bloch, 1787)","Acanthurus chirurgus (Bloch, 1787)",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Vertebrate,VER,2012,2012,2012-2017,0.5,,,,0.5,,,,,,,,,,,,,
"Acanthurus monroviae Steindachner, 1876","Acanthurus monroviae Steindachner, 1876",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,range expanding,range expanding,Vertebrate,VER,2007,2007,2006-2011,0.5,,,,0.5,,,,,,,,,,,,,
"Acanthurus monroviae Steindachner, 1876","Acanthurus monroviae Steindachner, 1876",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,range expanding,range expanding,Vertebrate,VER,,1988,1988-1993,,,,,1,,,,,,,,,,,,,
"Acartia (Acartiura) omorii Bradford, 1976","Acartia (Acartiura) omorii Bradford, 1976",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,2004,2000-2005,,,,,1,,,,,,,,,,,,,
"Acartia (Acartiura) omorii Bradford, 1976","Acartia (Acartiura) omorii Bradford, 1976",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,absent,Invertebrate,INV,2004,2004,2000-2005,,,,,,,,,1,,,,,,,,,
"Acartia (Acanthacartia) tonsa Dana, 1849",,"Acartia (Acanthacartia) tonsa Dana, 1849",msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,1987,1987,1982-1987,,,,,1,,,,,,,,,,,,,
"Acartia (Acanthacartia) tonsa Dana, 1849",,"Acartia (Acanthacartia) tonsa Dana, 1849",msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Invertebrate,INV,1921,1921,<1970,,,,,1,,,,,,,,,,,,,
"Acartia (Acanthacartia) tonsa Dana, 1849",,"Acartia (Acanthacartia) tonsa Dana, 1849",msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,<1977,1977,1976-1981,,,,,1,,,,,,,,,,,,,
"Acartia (Acanthacartia) tonsa Dana, 1849",,"Acartia (Acanthacartia) tonsa Dana, 1849",msfd,Black Sea,BLK,Black Sea,BLK,"43.227,32.008",43.227,32.008,,non-indigenous,Invertebrate,INV,1976,1976,1976-1981,,,,,1,,,,,,,,,,,,,
"Acartia (Acanthacartia) tonsa Dana, 1849",,"Acartia (Acanthacartia) tonsa Dana, 1849",msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Invertebrate,INV,2005,2005,2000-2005,,,,,1,,,,,,,,,,,,,
"Acartia (Acanthacartia) tonsa Dana, 1849",,"Acartia (Acanthacartia) tonsa Dana, 1849",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,1921,<1970,,,,,1,,,,,,,,,,,,,
"Acartia (Acanthacartia) tonsa Dana, 1849",,"Acartia (Acanthacartia) tonsa Dana, 1849",msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,1986,1986,1982-1987,,,,,1,,,,,,,,,,,,,
"Achelia sawayai Marcus, 1940","Achelia sawayai Marcus, 1940",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Invertebrate,INV,2016,2016,2012-2017,,,,,,,,,1,,,,,,,,,
"Acipenser baerii Brandt, 1869",,"Acipenser baerii Brandt, 1869",msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Vertebrate,VER,1960,1960,<1970,0.333,0.333,,,,,,0.333,,,,,,,,,,
"Acipenser baerii Brandt, 1869",,"Acipenser baerii Brandt, 1869",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Vertebrate,VER,,1985,1982-1987,0.333,0.333,,,,,,0.333,,,,,,,,,,
"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Vertebrate,VER,1962,1962,<1970,0.333,0.333,,,,,,0.333,,,,,,,,,,
"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Vertebrate,VER,,2010,2006-2011,0.333,0.333,,,,,,0.333,,,,,,,,,,
"Acipenser ruthenus Linnaeus, 1758",,"Acipenser ruthenus Linnaeus, 1758",msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Vertebrate,VER,1887,1887,<1970,0.333,0.333,,,,,,0.333,,,,,,,,,,
"Acipenser stellatus Pallas, 1771","Acipenser stellatus Pallas, 1771",,msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Vertebrate,VER,1999,1999,1994-1999,,0.5,,,,,,0.5,,,,,,,,,,
"Acipenser transmontanus Richardson, 1836","Acipenser transmontanus Richardson, 1836",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Vertebrate,VER,,1999,1994-1999,,1,,,,,,,,,,,,,,,,
"Acrochaetium catenulatum M.A.Howe, 1914",,"Acrochaetium catenulatum M.A.Howe, 1914",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Primary producer,PP,,1967,<1970,,,,,1,,,,,,,,,,,,,
"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",,"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Primary producer,PP,2007,2007,2006-2011,0.5,,,,,0.5,,,,,,,,,,,,
