Species,Species >1970,Species <1970,List,Region,Region code,Subregion,subregion code,Geo subreg,Lat,Long,Status comment,STATUS,Group,VER-INV-PP,NS stand,Year,Period,REL,EC,TC,TS-0ther,TS-ball,TS-hull,COR,UNA,UNK,,,,,,,,,
"Ceramium strobiliforme G.W.Lawson & D.M.John, 1982","Ceramium strobiliforme G.W.Lawson & D.M.John, 1982",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,1991,1991,1988-1993,,,,,,1,,,,,,,,,,,,
"Ceratonereis mirabilis Kinberg, 1865","Ceratonereis mirabilis Kinberg, 1865",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1997,1997,1994-1999,,,,,,,,1,,,,,,,,,,
"Cercopagis (Cercopagis) pengoi (Ostroumov, 1891)","Cercopagis (Cercopagis) pengoi (Ostroumov, 1891)",,msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,"partly native, BKS",non-indigenous,Invertebrate,INV,1992,1992,1988-1993,,,,,1,,,,,,,,,,,,,
"Cereus pedunculatus (Pennant, 1777)",,"Cereus pedunculatus (Pennant, 1777)",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,"partly native, GNS",native/partly native,Invertebrate,INV,,1921,<1970,,,0.5,,,0.5,,,,,,,,,,,,
"Cerithidium perparvulum (Watson, 1886)","Cerithidium perparvulum (Watson, 1886)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1995,1995,1994-1999,,,,,0.333,0.333,,0.333,,,,,,,,,,
"Cerithiopsis pulvis (Issel, 1869)","Cerithiopsis pulvis (Issel, 1869)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1985,1985,1982-1987,,,,,,,,1,,,,,,,,,,
"Cerithiopsis tenthrenois (Melvill, 1896)","Cerithiopsis tenthrenois (Melvill, 1896)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1985,1985,1982-1987,,,,,,,,1,,,,,,,,,,
"Cerithium scabridum Philippi, 1848","Cerithium scabridum Philippi, 1848",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,2007,2007,2006-2011,,,,,0.5,0.5,,,,,,,,,,,,
"Cerithium scabridum Philippi, 1848","Cerithium scabridum Philippi, 1848",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Invertebrate,INV,1972,1972,1970-1975,,,,,0.5,0.5,,,,,,,,,,,,
"Cerithium scabridum Philippi, 1848","Cerithium scabridum Philippi, 1848",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1983,1983,1982-1987,,,,,0.333,0.333,,0.333,,,,,,,,,,
"Cerithium scabridum Philippi, 1848","Cerithium scabridum Philippi, 1848",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,1972,1972,1970-1975,,,,,0.333,0.333,,0.333,,,,,,,,,,
Chaetoceros cf. lorenzianus Grunow,Chaetoceros cf. lorenzianus Grunow,,msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,microalgae,Primary producer,PP,2003,2003,2000-2005,,,,,0.5,,,0.5,,,,,,,,,,
Chaetoceros peruvianus,Chaetoceros peruvianus,,msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,microalgae,Primary producer,PP,,2003,2000-2005,,0.5,,,0.5,,,,,,,,,,,,,
Chaetoceros peruvianus,Chaetoceros peruvianus,,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,1981,1976-1981,,,,,1,,,,,,,,,,,,,
Chaetoceros rostratus,Chaetoceros rostratus,,msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,cryptogenic,Primary producer,PP,,2003,2000-2005,,0.5,,,0.5,,,,,,,,,,,,,
"Chaetoceros bacteriastroides G.H.H.Karsten, 1907","Chaetoceros bacteriastroides G.H.H.Karsten, 1907",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,microalgae,Primary producer,PP,2010,2010,2006-2011,,,,,1,,,,,,,,,,,,,
"Chaetoceros bacteriastroides G.H.H.Karsten, 1907","Chaetoceros bacteriastroides G.H.H.Karsten, 1907",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,microalgae,Primary producer,PP,1996,1996,1994-1999,,,,,1,,,,,,,,,,,,,
Chaetoceros circinalis (Meunier) K.G. Jensen & Moestrup,Chaetoceros circinalis (Meunier) K.G. Jensen & Moestrup,,msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,cryptogenic,microalgae,Primary producer,PP,2001,2001,2000-2005,,,,,0.5,,,0.5,,,,,,,,,,
Chaetoceros circinalis (Meunier) K.G. Jensen & Moestrup,Chaetoceros circinalis (Meunier) K.G. Jensen & Moestrup,,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,cryptogenic,microalgae,Primary producer,PP,,2001,2000-2005,,,,,1,,,,,,,,,,,,,
"Chaetoceros concavicornis Mangin, 1917","Chaetoceros concavicornis Mangin, 1917",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,2011,2006-2011,,,,,0.5,,,0.5,,,,,,,,,,
"Chaetoceros pseudosymmetricus Nielsen, 1931","Chaetoceros pseudosymmetricus Nielsen, 1931",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,microalgae,Primary producer,PP,2015,2015,2012-2017,,,,,,,1,,,,,,,,,,,
"Chaetodipterus faber (Broussonet, 1782)","Chaetodipterus faber (Broussonet, 1782)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Vertebrate,VER,2019,2019,2018-2020,1,,,,,,,,,,,,,,,,,
"Chaetodon hoefleri Steindachner, 1881 ","Chaetodon hoefleri Steindachner, 1881 ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,range expanding,Vertebrate,VER,,1990,1988-1993,,,,,,,,,1,,,,,,,,,
"Chaetodon sanctaehelenae Günther, 1868 ","Chaetodon sanctaehelenae Günther, 1868 ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,non-indigenous,Vertebrate,VER,,1993,1988-1993,,,1,,,,,,,,,,,,,,,
"Chaetodon auriga Forsskål, 1775","Chaetodon auriga Forsskål, 1775",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Vertebrate,VER,2015,2015,2012-2017,1,,,,,,,,,,,,,,,,,
"Chaetodontoplus septentrionalis (Temminck & Schlegel, 1844) ","Chaetodontoplus septentrionalis (Temminck & Schlegel, 1844) ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,non-indigenous,Vertebrate,VER,,2015,2012-2017,,,,,,,,,1,,,,,,,,,
"Chaetopleura angulata (Spengler, 1797)",,"Chaetopleura angulata (Spengler, 1797)",msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,1850,1850,<1970,,0.3,,,0.3,0.3,,,,,,,,,,,,
"Chaetozone corona Berkeley & Berkeley, 1941","Chaetozone corona Berkeley & Berkeley, 1941",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,2006,2006,2006-2011,,,,,1,,,,,,,,,,,,,
"Chaetozone corona Berkeley & Berkeley, 1941","Chaetozone corona Berkeley & Berkeley, 1941",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,1996,1996,1994-1999,,,,,0.5,0.5,,,,,,,,,,,,
"Chaetozone corona Berkeley & Berkeley, 1941","Chaetozone corona Berkeley & Berkeley, 1941",,msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,non-indigenous,Invertebrate,INV,,1996,1994-1999,,,,,0.5,0.5,,,,,,,,,,,,
"Chaetozone corona Berkeley & Berkeley, 1941","Chaetozone corona Berkeley & Berkeley, 1941",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Invertebrate,INV,1982,1982,1982-1987,,,,,1,,,,,,,,,,,,,
"Chaetozone corona Berkeley & Berkeley, 1941","Chaetozone corona Berkeley & Berkeley, 1941",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1989,1989,1988-1993,,,,,1,,,,,,,,,,,,,
"Chaetozone corona Berkeley & Berkeley, 1941","Chaetozone corona Berkeley & Berkeley, 1941",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,2012,2012,2012-2017,,,,,1,,,,,,,,,,,,,
"Chalinula loosanoffi (Hartman, 1958)","Chalinula loosanoffi (Hartman, 1958)",,msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,questionable,Invertebrate,INV,,1977,1976-1981,,,1,,,,,,,,,,,,,,,
"Chama asperella Lamarck, 1819","Chama asperella Lamarck, 1819",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2007,2007,2006-2011,,,,,1,,,,,,,,,,,,,
"Chama pacifica Broderip, 1835","Chama pacifica Broderip, 1835",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1998,1998,1994-1999,,,,,,0.5,,0.5,,,,,,,,,,
"Champsodon nudivittis (Ogilby, 1895)","Champsodon nudivittis (Ogilby, 1895)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Vertebrate,VER,2012,2012,2012-2017,,,,,,,,1,,,,,,,,,,
"Charybdis (Charybdis) japonica (A. Milne-Edwards, 1861)","Charybdis (Charybdis) japonica (A. Milne-Edwards, 1861)",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,2006,2006,2006-2011,,,,0.5,,0.5,,,,,,,,,,,,
"Charybdis (Charybdis) feriata (Linnaeus, 1758)","Charybdis (Charybdis) feriata (Linnaeus, 1758)",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,2004,2004,2000-2005,,1,,,,,,,,,,,,,,,,
"Charybdis (Charybdis) hellerii (A. Milne-Edwards, 1867)","Charybdis (Charybdis) hellerii (A. Milne-Edwards, 1867)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1998,1998,1994-1999,,,,,0.5,,,0.5,,,,,,,,,,
"Charybdis (Charybdis) lucifera (Fabricius, 1798)","Charybdis (Charybdis) lucifera (Fabricius, 1798)",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,2006,2006,2006-2011,,,,0.333,0.333,0.333,,,,,,,,,,,,
"Charybdis (Goniohellenus) longicollis Leene, 1938",,"Charybdis (Goniohellenus) longicollis Leene, 1938",msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1969,1969,<1970,,,,,,,,1,,,,,,,,,,
"Chattonella marina (Subrahmanyan) Hara & Chihara, 1982","Chattonella marina (Subrahmanyan) Hara & Chihara, 1982",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,1974,1970-1975,,,,,0.5,,,0.5,,,,,,,,,,
"Cheilodipterus novemstriatus (Rüppell, 1838)","Cheilodipterus novemstriatus (Rüppell, 1838)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Vertebrate,VER,2015,2015,2012-2017,,,,,,,,1,,,,,,,,,,
"Chelicorophium robustum (G.O. Sars, 1895)","Chelicorophium robustum (G.O. Sars, 1895)",,msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Invertebrate,INV,2018,2018,2018-2020,,,,,0.5,0.5,,,,,,,,,,,,
"Chelicorophium curvispinum (G.O. Sars, 1895)",,"Chelicorophium curvispinum (G.O. Sars, 1895)",msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Invertebrate,INV,1921,1921,<1970,,,,,0.5,0.5,,,,,,,,,,,,
"Chelicorophium curvispinum (G.O. Sars, 1895)",,"Chelicorophium curvispinum (G.O. Sars, 1895)",msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,non-indigenous,Invertebrate,INV,,2000,2000-2005,,,,,0.5,0.5,,,,,,,,,,,,
"Chelicorophium curvispinum (G.O. Sars, 1895)",,"Chelicorophium curvispinum (G.O. Sars, 1895)",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,1912,<1970,,,,,0.5,0.5,,,,,,,,,,,,
"Chelidonichthys lucernus (Linnaeus, 1758)","Chelidonichthys lucernus (Linnaeus, 1758)",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,range expanding,Vertebrate,VER,,1993,1988-1993,,,,,,,,,1,,,,,,,,,
Chilomycterus reticulatus (L. 1758),,Chilomycterus reticulatus (L. 1758),msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,range expanding,Vertebrate,VER,,1898,<1970,,,,,,,,,1,,,,,,,,,
"Chilomycterus spinosus mauretanicus (Le Danois, 1954)","Chilomycterus spinosus mauretanicus (Le Danois, 1954)",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,range expanding,Vertebrate,VER,,2018,2018-2020,,,,,,,,,1,,,,,,,,,
"Chlorurus rhakoura Randall & Anderson, 1997","Chlorurus rhakoura Randall & Anderson, 1997",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Vertebrate,VER,2017,2017,2012-2017,,,,,0.5,0.5,,,,,,,,,,,,
"Chondria pygmaea Garbary & Vandermeulen, 1990","Chondria pygmaea Garbary & Vandermeulen, 1990",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Primary producer,PP,1974,1974,1970-1975,,,,,,0.5,,0.5,,,,,,,,,,
"Chondria pygmaea Garbary & Vandermeulen, 1990","Chondria pygmaea Garbary & Vandermeulen, 1990",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,1995,1995,1994-1999,,,,,,0.5,,0.5,,,,,,,,,,
"Chondria curvilineata F.S.Collins & Hervey, 1917","Chondria curvilineata F.S.Collins & Hervey, 1917",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Primary producer,PP,2015,2015,2012-2017,,,,,,1,,,,,,,,,,,,
"Chondria curvilineata F.S.Collins & Hervey, 1917","Chondria curvilineata F.S.Collins & Hervey, 1917",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,1981,1981,1976-1981,,,,,,1,,,,,,,,,,,,
"Chondrus giganteus f. flabellatus Mikami, 1965","Chondrus giganteus f. flabellatus Mikami, 1965",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,1994,1994,1994-1999,,,1,,,,,,,,,,,,,,,
"Chorda filum (Linnaeus) Stackhouse, 1797","Chorda filum (Linnaeus) Stackhouse, 1797",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,"partly native, NEA",non-indigenous,Primary producer,PP,1981,1981,1976-1981,,,1,,,,,,,,,,,,,,,
"Chromis multilineata (Guichenot, 1853) ","Chromis multilineata (Guichenot, 1853) ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,non-indigenous,Vertebrate,VER,,2015,2012-2017,,,,1,,,,,,,,,,,,,,
"Chromodoris quadricolor (Rüppell & Leuckart, 1830)","Chromodoris quadricolor (Rüppell & Leuckart, 1830)",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,1982,1982,1982-1987,0.5,,,,0.5,,,,,,,,,,,,,
"Chrysaora achlyos Martin, Gershwin, Burnett, Cargo & Bloom, 1997","Chrysaora achlyos Martin, Gershwin, Burnett, Cargo & Bloom, 1997",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2018,2018,2018-2020,,1,,,,,,,,,,,,,,,,
"Chrysiptera cyanea (Quoy & Gaimard, 1825)","Chrysiptera cyanea (Quoy & Gaimard, 1825)",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Vertebrate,VER,2013,2013,2012-2017,1,,,,,,,,,,,,,,,,,
"Chrysiptera hemicyanea (Weber, 1913)","Chrysiptera hemicyanea (Weber, 1913)",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Vertebrate,VER,2017,2017,2012-2017,1,,,,,,,,,,,,,,,,,
"Chrysonephos lewisii (W.R.Taylor) W.R.Taylor, 1952","Chrysonephos lewisii (W.R.Taylor) W.R.Taylor, 1952",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,1988,1988,1988-1993,,,,0.333,,0.333,,0.333,,,,,,,,,,
"Chthamalus stellatus (Poli, 1791)",,"Chthamalus stellatus (Poli, 1791)",msfd,Black Sea,BLK,Black Sea,BLK,"43.227,32.008",43.227,32.008,"partly native, NEA-MED",non-indigenous,Invertebrate,INV,1926,1926,<1970,,,,,,1,,,,,,,,,,,,
"Cingulina isseli (Tryon, 1886)","Cingulina isseli (Tryon, 1886)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1998,1998,1994-1999,,,,,0.33,0.33,,0.33,,,,,,,,,,
"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",,"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,2007,2007,2006-2011,,,,,,1,,,,,,,,,,,,
"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",,"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,2013,2013,2012-2017,,,,,,1,,,,,,,,,,,,
"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",,"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Invertebrate,INV,2007,2007,2006-2011,,,,,,1,,,,,,,,,,,,
"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",,"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1901,1901,<1970,,,,,,1,,,,,,,,,,,,
"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",,"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,2012,2012-2017,,,,,,1,,,,,,,,,,,,
"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",,"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,sporadic record,absent,Invertebrate,INV,,2003,2000-2005,,,,,,,,,1,,,,,,,,,
"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",,"Ciona robusta Hoshino & Tokioka, 1967 (as Ciona intestinalis (Linnaeus, 1767))",msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,2007,2007,2006-2011,,,,,,1,,,,,,,,,,,,
"Ciona intestinalis (Linnaeus, 1767)","Ciona intestinalis (Linnaeus, 1767)",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,native,native/partly native,Invertebrate,INV,1997,1997,1994-1999,,,,,,,,,1,,,,,,,,,
"Cirrhitus atlanticus Osório, 1893 ","Cirrhitus atlanticus Osório, 1893 ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,sporadic record,non-indigenous,Vertebrate,VER,,2018,2018-2020,,,,,,,,,1,,,,,,,,,
"Cladophora patentiramea (Montagne) Kützing, 1849","Cladophora patentiramea (Montagne) Kützing, 1849",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Primary producer,PP,1991,1991,1988-1993,,,,0.333,,0.333,,0.333,,,,,,,,,,
"Cladosiphon zosterae (J.Agardh) Kylin, 1940",,"Cladosiphon zosterae (J.Agardh) Kylin, 1940",msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,"partly native, NEA",non-indigenous,Primary producer,PP,1967,1967,<1970,,,1,,,,,,,,,,,,,,,
"Cladosiphon zosterae (J.Agardh) Kylin, 1940",,"Cladosiphon zosterae (J.Agardh) Kylin, 1940",msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,"partly native, NEA",non-indigenous,Primary producer,PP,1975,1975,1970-1975,,,1,,,,,,,,,,,,,,,
"Cladosiphon zosterae (J.Agardh) Kylin, 1940",,"Cladosiphon zosterae (J.Agardh) Kylin, 1940",msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,"partly native, NEA",non-indigenous,Primary producer,PP,1972,1972,1970-1975,,,1,,,,,,,,,,,,,,,
"Clavelina dellavallei (Zirpolo, 1925) ","Clavelina dellavallei (Zirpolo, 1925) ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,"partly native, NEA-MED",non-indigenous,Invertebrate,INV,,1995,1994-1999,,,,,0.5,0.5,,,,,,,,,,,,
"Clavelina lepadiformis (Müller, 1776) ","Clavelina lepadiformis (Müller, 1776) ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,"partly native, NEA-MED",non-indigenous,Invertebrate,INV,,1971,1970-1975,,,,,0.5,0.5,,,,,,,,,,,,
"Clavelina oblonga Herdman, 1880",,"Clavelina oblonga Herdman, 1880",msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,,1971,1970-1975,,,,,,1,,,,,,,,,,,,
"Clavelina oblonga Herdman, 1880",,"Clavelina oblonga Herdman, 1880",msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Invertebrate,INV,2003,2003,2000-2005,,,,,,1,,,,,,,,,,,,
"Clavelina oblonga Herdman, 1880",,"Clavelina oblonga Herdman, 1880",msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2016,2016,2012-2017,,,,,,1,,,,,,,,,,,,
"Clavelina oblonga Herdman, 1880",,"Clavelina oblonga Herdman, 1880",msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,non-indigenous,Invertebrate,INV,,1971,1970-1975,,,,,0.5,0.5,,,,,,,,,,,,
"Clavelina oblonga Herdman, 1880",,"Clavelina oblonga Herdman, 1880",msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,1929,1929,<1970,,,,,,1,,,,,,,,,,,,
Claviceps purpurea,,Claviceps purpurea,msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,pathogen/parasite,Primary producer,PP,,1960,<1970,,,1,,,,,,,,,,,,,,,
Claviceps purpurea,,Claviceps purpurea,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,pathogen/parasite,Primary producer,PP,,2001,2000-2005,,1,,,,,,,,,,,,,,,,
"Clavulina cf. multicamerata Chapman, 1907","Clavulina cf. multicamerata Chapman, 1907",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Primary producer,PP,2012,2012,2012-2017,,,,,0.5,0.5,,,,,,,,,,,,
"Clementia papyracea (Gmelin, 1791)","Clementia papyracea (Gmelin, 1791)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1985,1985,1982-1987,,,,,,,,1,,,,,,,,,,
